chr,start,end,name,score,strand,thickStart,thickEnd,itemRgb
chr1,10000,10600,15_Repetitive/CNV,0,.,10000,10600,"245,245,245"
chr1,10600,11137,13_Heterochrom/lo,0,.,10600,11137,"245,245,245"
chr1,11137,11737,8_Insulator,0,.,11137,11737,"10,190,254"
chr1,11737,11937,7_Weak_Enhancer,0,.,11737,11937,"255,252,4"
chr1,11937,13337,11_Weak_Txn,0,.,11937,13337,"153,255,102"
chr1,13337,14937,9_Txn_Transition,0,.,13337,14937,"0,176,80"
chr1,14937,19737,10_Txn_Elongation,0,.,14937,19737,"0,176,80"
chr1,19737,20937,9_Txn_Transition,0,.,19737,20937,"0,176,80"
chr1,20937,22137,10_Txn_Elongation,0,.,20937,22137,"0,176,80"
chr1,22137,22737,9_Txn_Transition,0,.,22137,22737,"0,176,80"
